# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.175
metadata : {}


# id : NWRW1800000025.175.1.1
[오늘 밤 이 경기]독일 vs 세르비아, 슬로베니아 vs 미국

[오늘	[/SS+오늘/NNG
밤	밤/NNG
이	이/MMD
경기]독일	경기/NNG+]/SS+독일/NNP
vs	vs/SL
세르비아,	세르비아/NNP+,/SP
슬로베니아	슬로베니아/NNP
미국	미국/NNP


# id : NWRW1800000025.175.2.1
○ “세르비아 제물로 16강 확정” “전차군단, 공중폭격 조심해!”

○	○/SW
“세르비아	“/SS+세르비아/NNP
제물로	제물/NNG+로/JKB
16강	16/SN+강/NNB
확정”	확정/NNG+”/SS
“전차군단,	“/SS+전차/NNG+군단/NNG+,/SP
공중폭격	공중/NNG+폭격/NNG
조심해!”	조심/NNG+하/XSV+아/EF+!/SF+”/SS


# id : NWRW1800000025.175.3.1
:D조: 미로슬라프 클로제를 앞세운 ‘전차군단’의 창이냐, 네마냐 비디치를 중심으로 장신 수비벽을 구축한 ‘하얀 독수리’의 방패냐.

:D조:	:/SP+D/SL+조/NNG+:/SP
미로슬라프	미로슬라프/NNP
클로제를	클로제/NNP+를/JKO
앞세운	앞세우/VV+ㄴ/ETM
‘전차군단’의	‘/SS+전차/NNG+군단/NNG+’/SS+의/JKG
창이냐,	창/NNG+이/VCP+냐/EF+,/SP
네마냐	네마냐/NNP
비디치를	비디치/NNP+를/JKO
중심으로	중심/NNG+으로/JKB
장신	장신/NNG
수비벽을	수비벽/NNG+을/JKO
구축한	구축/NNG+하/XSV+ㄴ/ETM
‘하얀	‘/SS+하얗/VA+ㄴ/ETM
독수리’의	독수리/NNG+’/SS+의/JKG
방패냐.	방패/NNG+이/VCP+냐/EF+./SF


# id : NWRW1800000025.175.3.2
독일과 세르비아가 18일 오후 8시 30분 포트엘리자베스 넬슨만델라베이 경기장에서 죽음의 D조 판도를 좌우할 일전을 벌인다.

독일과	독일/NNP+과/JC
세르비아가	세르비아/NNP+가/JKS
18일	18/SN+일/NNB
