# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.261
metadata : {}


# id : NWRW1800000024.261.1.1
벤처기술 ‘디자인 날개’ 달다

벤처기술	벤처/NNG+기술/NNG
‘디자인	‘/SS+디자인/NNG
날개’	날개/NNG+’/SS
달다	달/VV+다/EF


# id : NWRW1800000024.261.2.1
대전 대덕벤처단지에 본사를 둔 ‘이머시스’는 10개 이상의 자체 브랜드를 갖고 있는 음향기기 전문업체다.

대전	대전/NNP
대덕벤처단지에	대덕벤처단지/NNP+에/JKB
본사를	본사/NNG+를/JKO
둔	두/VV+ㄴ/ETM
‘이머시스’는	‘/SS+이머시스/NNP+’/SS+는/JX
10개	10/SN+개/NNB
이상의	이상/NNG+의/JKG
자체	자체/NNG
브랜드를	브랜드/NNG+를/JKO
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
음향기기	음향/NNG+기기/NNG
전문업체다.	전문/NNG+업체/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.261.2.2
이 업체는 2년여 전 6개의 스피커가 필요한 입체음향을 2개의 스피커로 구현할 수 있는 신개념 스피커 ‘메이븐’을 개발했다.

이	이/MMD
업체는	업체/NNG+는/JX
2년여	2/SN+년/NNB+여/XSN
전	전/NNG
6개의	6/SN+개/NNB+의/JKG
스피커가	스피커/NNG+가/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
입체음향을	입체/NNG+음향/NNG+을/JKO
2개의	2/SN+개/NNB+의/JKG
스피커로	스피커/NNG+로/JKB
구현할	구현/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
신개념	신/XPN+개념/NNG
스피커	스피커/NNG
‘메이븐’을	‘/SS+메이븐/NNG+’/SS+을/JKO
개발했다.	개발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.261.2.3
문제는 이 제품의 특징을 가장 잘 드러낼 디자인이었다.

문제는	문제/NNG+는/JX
이	이/MMD
제품의	제품/NNG+의/JKG
특징을	특징/NNG+을/JKO
가장	가장/MAG
잘	잘/MAG
드러낼	드러내/VV+ㄹ/ETM
디자인이었다.	디자인/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000024.261.3.1
고민 끝에 정부의 ‘대덕특구 토탈디자인’ 사업의 지원을 받아 외부 컨설팅을 받기로 했다.

고민	고민/NNG
끝에	끝/NNG+에/JKB
정부의	정부/NNG+의/JKG
‘대덕특구	‘/SS+대덕특구/NNP
토탈디자인’	토탈디자인/NNG+’/SS
사업의	사업/NNG+의/JKG
지원을	지원/NNG+을/JKO
받아	받/VV+아/EC
외부	외부/NNG
컨설팅을	컨설팅/NNG+을/JKO
받기로	받/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.261.3.2
전문가 자문에 따라 소리를 쉽게 연상시키는 ‘소라’를 회사와 제품 디자인의 메인 심벌로 결정했다.

전문가	전문가/NNG
자문에	자문/NNG+에/JKB
따라	따르/VV+아/EC
소리를	소리/NNG+를/JKO
쉽게	쉽/VA+게/EC
연상시키는	연상/NNG+시키/XSV+는/ETM
‘소라’를	‘/SS+소라/NNG+’/SS+를/JKO
회사와	회사/NNG+와/JC
제품	제품/NNG
디자인의	디자인/NNG+의/JKG
메인	메인/NNG
심벌로	심벌/NNG+로/JKB
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.261.3.3
천차만별이던 각종 솔루션의 명칭과 표기도 일관된 디자인으로 리모델링했다.

천차만별이던	천차만별/NNG+이/VCP+던/ETM
각종	각종/NNG
솔루션의	솔루션/NNG+의/JKG
명칭과	명칭/NNG+과/JC
표기도	표기/NNG+도/JX
일관된	일관/NNG+되/XSV+ㄴ/ETM
디자인으로	디자인/NNG+으로/JKB
리모델링했다.	리모델링/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.261.3.4
이머시스 관계자는 “이전까지 기술력과 품질만 앞세웠는데, 새로운 브랜드 전략에 맞춰 공정을 바꾼 뒤 고객사의 반응이 달라졌다”고 말했다.

이머시스	이머시스/NNP
관계자는	관계자/NNG+는/JX
“이전까지	“/SS+이전/NNG+까지/JX
기술력과	기술력/NNG+과/JC
품질만	품질/NNG+만/JX
앞세웠는데,	앞세우/VV+었/EP+는데/EC+,/SP
새로운	새롭/VA+ㄴ/ETM
브랜드	브랜드/NNG
전략에	전략/NNG+에/JKB
맞춰	맞추/VV+어/EC
공정을	공정/NNG+을/JKO
바꾼	바꾸/VV+ㄴ/ETM
뒤	뒤/NNG
고객사의	고객사/NNG+의/JKG
반응이	반응/NNG+이/JKS
달라졌다”고	달라지/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.261.3.5
이 회사의 음향기술은 엘지(LG)전자의 휴대전화에 도입됐고, 최근에는 일본 업체와도 공급계약을 체결했다.

이	이/MMD
회사의	회사/NNG+의/JKG
음향기술은	음향/NNG+기술/NNG+은/JX
엘지(LG)전자의	엘지/NNP+(/SS+LG/SL+)/SS+전자/NNG+의/JKG
휴대전화에	휴대/NNG+전화/NNG+에/JKB
도입됐고,	도입/NNG+되/XSV+었/EP+고/EC+,/SP
최근에는	최근/NNG+에/JKB+는/JX
일본	일본/NNP
업체와도	업체/NNG+와/JKB+도/JX
공급계약을	공급/NNG+계약/NNG+을/JKO
체결했다.	체결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.261.4.1
대덕연구개발특구 지원본부는 정부의 지원으로 2년 전부터 대덕특구 안 벤처기업 중 기술력이 뛰어난 업체 10곳을 선정해 ‘토탈디자인 협력사업’을 벌여왔다.

대덕연구개발특구	대덕연구개발특구/NNP
지원본부는	지원/NNG+본부/NNG+는/JX
정부의	정부/NNG+의/JKG
지원으로	지원/NNG+으로/JKB
2년	2/SN+년/NNB
전부터	전/NNG+부터/JX
대덕특구	대덕특구/NNP
안	안/NNG
벤처기업	벤처/NNG+기업/NNG
중	중/NNB
기술력이	기술력/NNG+이/JKS
뛰어난	뛰어나/VA+ㄴ/ETM
업체	업체/NNG
10곳을	10/SN+곳/NNG+을/JKO
선정해	선정/NNG+하/XSV+아/EC
‘토탈디자인	‘/SS+토탈디자인/NNG
협력사업’을	협력/NNG+사업/NNG+’/SS+을/JKO
벌여왔다.	벌이/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.261.4.2
우수한 기술을 갖고도 제품화나 마케팅에 실패하는 기업들을 지원하는 사업이다.

우수한	우수/NNG+하/XSA+ㄴ/ETM
기술을	기술/NNG+을/JKO
갖고도	갖/VV+고/EC+도/JX
제품화나	제품/NNG+화/XSN+나/JC
마케팅에	마케팅/NNG+에/JKB
실패하는	실패/NNG+하/XSV+는/ETM
기업들을	기업/NNG+들/XSN+을/JKO
지원하는	지원/NNG+하/XSV+는/ETM
사업이다.	사업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.261.4.3
‘벤처기술과 디자인의 만남’이 톡톡 튀는 아이디어 상품들로 적잖은 성과를 내고 있다.

‘벤처기술과	‘/SS+벤처/NNG+기술/NNG+과/JC
디자인의	디자인/NNG+의/JKG
만남’이	만남/NNG+’/SS+이/JKS
톡톡	톡톡/MAG
튀는	튀/VV+는/ETM
아이디어	아이디어/NNG
상품들로	상품/NNG+들/XSN+로/JKB
적잖은	적잖/VA+은/ETM
성과를	성과/NNG+를/JKO
내고	내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.261.5.1
의료용 레이저기기를 생산하는 ‘원테크놀로지’는 모발관리 시장에 발을 들였지만 제품 디자인에 대한 노하우가 전혀 없었다.

의료용	의료/NNG+용/XSN
레이저기기를	레이저/NNG+기기/NNG+를/JKO
생산하는	생산/NNG+하/XSV+는/ETM
‘원테크놀로지’는	‘/SS+원테크놀로지/NNP+’/SS+는/JX
모발관리	모발/NNG+관리/NNG
시장에	시장/NNG+에/JKB
발을	발/NNG+을/JKO
들였지만	들이/VV+었/EP+지만/EC
제품	제품/NNG
디자인에	디자인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
노하우가	노하우/NNG+가/JKS
전혀	전혀/MAG
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000024.261.5.2
외부 컨설팅업체는 ‘젊은층과 여성들도 사용할 수 있고 인테리어 소품 구실을 할 수 있는 디자인’을 콘셉트로 잡고, 도자기 모양의 탈모치료기를 개발했다.

외부	외부/NNG
컨설팅업체는	컨설팅/NNG+업체/NNG+는/JX
‘젊은층과	‘/SS+젊/VA+은/ETM+층/NNG+과/JC
여성들도	여성/NNG+들/XSN+도/JX
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
인테리어	인테리어/NNG
소품	소품/NNG
구실을	구실/NNG+을/JKO
할	하/VV+ㄹ/ETM
있는	있/VA+는/ETM
디자인’을	디자인/NNG+’/SS+을/JKO
콘셉트로	콘셉트/NNG+로/JKB
잡고,	잡/VV+고/EC+,/SP
도자기	도자기/NNG
모양의	모양/NNG+의/JKG
탈모치료기를	탈모/NNG+치료기/NNG+를/JKO
개발했다.	개발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.261.5.3
이 제품은 지난 5월 프랑스 업체와 첫 수출계약을 맺었고, 캐나다의 한 의료기업체와 공급 계약을 진행중이다.

이	이/MMD
제품은	제품/NNG+은/JX
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
프랑스	프랑스/NNP
업체와	업체/NNG+와/JKB
첫	첫/MMN
수출계약을	수출/NNG+계약/NNG+을/JKO
맺었고,	맺/VV+었/EP+고/EC+,/SP
캐나다의	캐나다/NNP+의/JKG
한	한/MMN
의료기업체와	의료기/NNG+업체/NNG+와/JKB
공급	공급/NNG
계약을	계약/NNG+을/JKO
진행중이다.	진행/NNG+중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.261.5.4
압전 케이블 전문업체인 ‘피에조랩’은 골프 퍼터에 자체 진동기술을 접목시켰다.

압전	압전/NNG
케이블	케이블/NNG
전문업체인	전문/NNG+업체/NNG+이/VCP+ㄴ/ETM
‘피에조랩’은	‘/SS+피에조랩/NNP+’/SS+은/JX
골프	골프/NNG
퍼터에	퍼터/NNG+에/JKB
자체	자체/NNG
진동기술을	진동/NNG+기술/NNG+을/JKO
접목시켰다.	접목/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.261.5.5
골프공이 전선에 눌리는 압력을 데이터로 전환해 측정 거리를 보여주는 연습용 퍼터를 개발했다.

골프공이	골프공/NNG+이/JKS
전선에	전선/NNG+에/JKB
눌리는	눌리/VV+는/ETM
압력을	압력/NNG+을/JKO
데이터로	데이터/NNG+로/JKB
전환해	전환/NNG+하/XSV+아/EC
측정	측정/NNG
거리를	거리/NNG+를/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
연습용	연습/NNG+용/XSN
퍼터를	퍼터/NNG+를/JKO
개발했다.	개발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.261.5.6
이 회사 관계자는 “기술만 팔다가 직접 제품을 생산하는 비즈니스 영역을 개척한 게 큰 수확”이라고 말했다.

이	이/MMD
회사	회사/NNG
관계자는	관계자/NNG+는/JX
“기술만	“/SS+기술/NNG+만/JX
팔다가	팔/VV+다가/EC
직접	직접/MAG
제품을	제품/NNG+을/JKO
생산하는	생산/NNG+하/XSV+는/ETM
비즈니스	비즈니스/NNG
영역을	영역/NNG+을/JKO
개척한	개척/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
큰	크/VA+ㄴ/ETM
수확”이라고	수확/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.261.6.1
물체를 띄우는 기술을 갖고 있는 ‘뉴로스’는 그동안 로봇 새 등을 시장에 내놨지만 시장에서 외면당했다.

물체를	물체/NNG+를/JKO
띄우는	띄우/VV+는/ETM
기술을	기술/NNG+을/JKO
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
‘뉴로스’는	‘/SS+뉴로스/NNP+’/SS+는/JX
그동안	그동안/NNG
로봇	로봇/NNG
새	새/NNG
등을	등/NNB+을/JKO
시장에	시장/NNG+에/JKB
내놨지만	내놓/VV+았/EP+지만/EC
시장에서	시장/NNG+에서/JKB
외면당했다.	외면/NNG+당하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.261.6.2
시장성을 고민하다 개발한 게 ‘날아다니는 알람시계’다.

시장성을	시장/NNG+성/XSN+을/JKO
고민하다	고민/NNG+하/XSV+다/EC
개발한	개발/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
‘날아다니는	‘/SS+날아다니/VV+는/ETM
알람시계’다.	알람/NNG+시계/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000024.261.6.3
알람 설정 시각이 되면 작은 비행체가 빛과 소리를 내며 날아다니다 제자리에 착륙하도록 설계됐다.

알람	알람/NNG
설정	설정/NNG
시각이	시각/NNG+이/JKC
되면	되/VV+면/EC
작은	작/VA+은/ETM
비행체가	비행체/NNG+가/JKS
빛과	빛/NNG+과/JC
소리를	소리/NNG+를/JKO
내며	내/VV+며/EC
날아다니다	날아다니/VV+다/EC
제자리에	제자리/NNG+에/JKB
착륙하도록	착륙/NNG+하/XSV+도록/EC
설계됐다.	설계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.261.6.4
하지만 이 제품은 회사의 투자금 부족으로 시장 출시가 잠정 보류된 상태다.

하지만	하지만/MAJ
이	이/MMD
제품은	제품/NNG+은/JX
회사의	회사/NNG+의/JKG
투자금	투자금/NNG
부족으로	부족/NNG+으로/JKB
시장	시장/NNG
출시가	출시/NNG+가/JKS
잠정	잠정/NNG
보류된	보류/NNG+되/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.261.6.5
토탈디자인 사업에 참여한 김영세 이노디자인 대표는 “우수한 기술력에 디자인의 힘을 더하면 부가가치와 경쟁력을 크게 높일 수 있다”며 “단지 제품 디자인뿐 아니라 제품 콘셉트와 제조·포장·마케팅까지 비즈니스 전 과정에서 통일성 있는 관리가 필요하다”고 말했다.

토탈디자인	토탈디자인/NNG
사업에	사업/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
김영세	김영세/NNP
이노디자인	이노디자인/NNP
대표는	대표/NNG+는/JX
“우수한	“/SS+우수/NNG+하/XSA+ㄴ/ETM
