# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.265
metadata : {}


# id : NWRW1800000053.265.1.1
[허문명의 프리킥]트럼프 탄핵정국과 한미 정상회담

[허문명의	[/SS+허문명/NNP+의/JKG
프리킥]트럼프	프리킥/NNG+]/SS+트럼프/NNP
탄핵정국과	탄핵/NNG+정국/NNG+과/JC
한미	한미/NNP
정상회담	정상/NNG+회담/NNG


# id : NWRW1800000053.265.2.1
미국에선 한 달 전만 해도 트럼프 대통령의 탄핵에 대해 물으면 “가능성이 없다”는 게 중론이었다.

미국에선	미국/NNP+에서/JKB+ㄴ/JX
한	한/MMN
달	달/NNB
전만	전/NNG+만/JX
해도	하/VV+아도/EC
트럼프	트럼프/NNP
대통령의	대통령/NNG+의/JKG
탄핵에	탄핵/NNG+에/JKB
대해	대하/VV+아/EC
물으면	묻/VV+으면/EC
“가능성이	“/SS+가능/NNG+성/XSN+이/JKS
없다”는	없/VA+다/EF+”/SS+는/ETM
게	거/NNB+이/JKS
중론이었다.	중론/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.265.2.2
지금은 분위기가 확 다르다.

지금은	지금/NNG+은/JX
분위기가	분위기/NNG+가/JKS
확	확/MAG
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000053.265.2.3
한 한국인 교수 말이다.

한	한/MMN
한국인	한국인/NNG
교수	교수/NNG
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.265.2.4
“탄핵은 더 이상 금기어도 아니고 이제는 실현 가능성이 얼마나 될까 대놓고 말한다.

“탄핵은	“/SS+탄핵/NNG+은/JX
더	더/MAG
이상	이상/NNG
금기어도	금기어/NNG+도/JX
아니고	아니/VCN+고/EC
이제는	이제/NNG+는/JX
실현	실현/NNG
가능성이	가능/NNG+성/XSN+이/JKS
얼마나	얼마나/MAG
될까	되/VV+ㄹ까/EF
대놓고	대놓고/MAG
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.265.2.5
공화당이 상하원을 장악하고 있어 어렵다고 하는데 내년 중간선거를 앞두고 여론이 악화되면 무슨 일이 일어날지 모른다.

공화당이	공화당/NNP+이/JKS
상하원을	상하원/NNG+을/JKO
장악하고	장악/NNG+하/XSV+고/EC
있어	있/VX+어/EC
어렵다고	어렵/VA+다고/EC
하는데	하/VV+는데/EC
내년	내년/NNG
중간선거를	중간/NNG+선거/NNG+를/JKO
앞두고	앞두/VV+고/EC
여론이	여론/NNG+이/JKS
악화되면	악화/NNG+되/XSV+면/EC
무슨	무슨/MMD
일이	일/NNG+이/JKS
일어날지	일어나/VV+ㄹ지/EC
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.265.2.6
미국은 한국처럼 다시 대선을 치를 필요가 없다.

미국은	미국/NNP+은/JX
한국처럼	한국/NNP+처럼/JKB
다시	다시/MAG
대선을	대선/NNG+을/JKO
치를	치르/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000053.265.2.7
펜스 부통령 체제가 더 나을 것이라 말하는 사람들도 많다.”

펜스	펜스/NNP
부통령	부통령/NNG
체제가	체제/NNG+가/JKS
더	더/MAG
나을	낫/VA+을/ETM
것이라	것/NNB+이/VCP+라/EC
말하는	말/NNG+하/XSV+는/ETM
사람들도	사람/NNG+들/XSN+도/JX
많다.”	많/VA+다/EF+./SF+”/SS


# id : NWRW1800000053.265.3.1
CNN 등 미 언론에 따르면 트럼프 지지율은 30%대로 추락했고 “임기를 못 채울 것”이라고 말한 응답자도 40%대다.

CNN	CNN/SL
등	등/NNB
미	미/NNP
언론에	언론/NNG+에/JKB
따르면	따르/VV+면/EC
트럼프	트럼프/NNP
지지율은	지지/NNG+율/XSN+은/JX
30%대로	30/SN+%/SW+대/XSN+로/JKB
추락했고	추락/NNG+하/XSV+았/EP+고/EC
“임기를	“/SS+임기/NNG+를/JKO
