# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.362
metadata : {}


# id : NWRW1800000049.362.1.1
[단독]‘먹통 위성’ 국민 속인 미래부

[단독]‘먹통	[/SS+단독/NNG+]/SS+‘/SS+먹통/NNG
위성’	위성/NNG+’/SS
국민	국민/NNG
속인	속이/VV+ㄴ/ETM
미래부	미래부/NNG


# id : NWRW1800000049.362.2.1
“과학기술위성 3호 2년간 임무 완수” 작년 11월 성과 홍보했지만 뻥튀기… 우주관측 카메라 6개월간 작동안돼→ 사실상 껍데기 상태로 지구 공전

“과학기술위성	“/SS+과학/NNG+기술/NNG+위성/NNG
3호	3/SN+호/NNB
2년간	2/SN+년/NNB+간/XSN
임무	임무/NNG
완수”	완수/NNG+”/SS
작년	작년/NNG
11월	11/SN+월/NNB
성과	성과/NNG
홍보했지만	홍보/NNG+하/XSV+았/EP+지만/EC
뻥튀기…	뻥튀기/NNG+…/SE
우주관측	우주/NNG+관측/NNG
카메라	카메라/NNG
6개월간	6/SN+개월/NNB+간/XSN
작동안돼→	작동/NNG+안/MAG+되/XSV+어/EF+→/SW
사실상	사실/NNG+상/XSN
껍데기	껍데기/NNG
상태로	상태/NNG+로/JKB
지구	지구/NNG
공전	공전/NNG


# id : NWRW1800000049.362.3.1
정부가 2013년 11월 국내 최초로 우주 관측 용도로 발사한 과학기술위성 3호가 임무 기간 2년 중 6개월간을 사실상 껍데기만 남은 상태로 궤도를 돌았던 것으로 9일 드러났다.

정부가	정부/NNG+가/JKS
2013년	2013/SN+년/NNB
11월	11/SN+월/NNB
국내	국내/NNG
최초로	최초/NNG+로/JKB
우주	우주/NNG
관측	관측/NNG
용도로	용도/NNG+로/JKB
발사한	발사/NNG+하/XSV+ㄴ/ETM
과학기술위성	과학/NNG+기술/NNG+위성/NNG
3호가	3/SN+호/NNB+가/JKS
임무	임무/NNG
기간	기간/NNG
2년	2/SN+년/NNB
중	중/NNB
6개월간을	6/SN+개월/NNB+간/XSN+을/JKO
사실상	사실/NNG+상/XSN
껍데기만	껍데기/NNG+만/JX
남은	남/VV+은/ETM
상태로	상태/NNG+로/JKB
궤도를	궤도/NNG+를/JKO
돌았던	돌/VV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
9일	9/SN+일/NNB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.362.3.2
하지만 주무 부처인 미래창조과학부는 이런 사실을 숨기고 “과학기술위성 3호가 성공적으로 임무를 마쳤다”고 발표해 국민을 속였다는 비판을 받고 있다.

하지만	하지만/MAJ
주무	주무/NNG
부처인	부처/NNG+이/VCP+ㄴ/ETM
미래창조과학부는	미래/NNG+창조/NNG+과학부/NNG+는/JX
이런	이런/MMD
사실을	사실/NNG+을/JKO
숨기고	숨기/VV+고/EC
“과학기술위성	“/SS+과학/NNG+기술/NNG+위성/NNG
3호가	3/SN+호/NNB+가/JKS
성공적으로	성공/NNG+적/XSN+으로/JKB
임무를	임무/NNG+를/JKO
마쳤다”고	마치/VV+었/EP+다/EF+”/SS+고/JKQ
발표해	발표/NNG+하/XSV+아/EC
국민을	국민/NNG+을/JKO
속였다는	속이/VV+었/EP+다는/ETM
비판을	비판/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.362.4.1
이 같은 사실은 국회 미래창조과학방송통신위원회 소속 김재경 새누리당 의원이 한국천문연구원에서 받은 자료에서 밝혀졌다.

이	이/NP
같은	같/VA+은/ETM
사실은	사실/NNG+은/JX
국회	국회/NNG
미래창조과학방송통신위원회	미래/NNG+창조/NNG+과학/NNG+방송/NNG+통신/NNG+위원회/NNG
소속	소속/NNG
김재경	김재경/NNP
새누리당	새누리당/NNP
의원이	의원/NNG+이/JKS
한국천문연구원에서	한국천문연구원/NNP+에서/JKB
받은	받/VV+은/ETM
자료에서	자료/NNG+에서/JKB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.362.4.2
이 자료에 따르면 과학기술위성 3호의 적외선 우주 관측 카메라는 임무 기간 중 마지막 6개월간 전혀 작동하지 않았다.

이	이/MMD
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
과학기술위성	과학/NNG+기술/NNG+위성/NNG
3호의	3/SN+호/NNB+의/JKG
적외선	적외선/NNG
우주	우주/NNG
관측	관측/NNG
카메라는	카메라/NNG+는/JX
임무	임무/NNG
기간	기간/NNG
중	중/NNB
마지막	마지막/NNG
6개월간	6/SN+개월/NNB+간/XSN
전혀	전혀/MAG
작동하지	작동/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.362.4.3
우주 관측 카메라의 필수 장비인 검출기 냉각기의 수명이 다했기 때문이다.

우주	우주/NNG
관측	관측/NNG
카메라의	카메라/NNG+의/JKG
필수	필수/NNG
장비인	장비/NNG+이/VCP+ㄴ/ETM
검출기	검출기/NNG
냉각기의	냉각기/NNG+의/JKG
수명이	수명/NNG+이/JKS
다했기	다/MAG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.362.4.4
이에 따라 이 위성은 지난해 5월부터 약 6개월간 부수적 임무인 지구 관측만 간헐적으로 수행한 ‘먹통 위성’인 상태였다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
이	이/MMD
위성은	위성/NNG+은/JX
지난해	지난해/NNG
5월부터	5/SN+월/NNB+부터/JX
약	약/MMA
6개월간	6/SN+개월/NNB+간/XSN
부수적	부수/NNG+적/XSN
