# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.247
metadata : {}


# id : NWRW1800000038.247.1.1
머레이, 영국인 윔블던 77년 恨 풀었다

머레이,	머레이/NNP+,/SP
영국인	영국인/NNG
윔블던	윔블던/NNP
77년	77/SN+년/NNB
恨	恨/SH
풀었다	풀/VV+었/EP+다/EF


# id : NWRW1800000038.247.2.1
조코비치 3대0으로 꺾고 우승

조코비치	조코비치/NNP
3대0으로	3/SN+대/NNB+0/SN+으로/JKB
꺾고	꺾/VV+고/EC
우승	우승/NNG


# id : NWRW1800000038.247.3.1
8일(한국 시각) 영국 윔블던 올잉글랜드클럽에서 열린 윔블던 테니스 남자 단식 결승이 앤디 머레이(26·영국)의 승리로 끝나자 센터 코트에 운집한 팬 1만5000여명은 긴 '악몽'에서 깨어난 듯 함성을 지르며 기뻐했다.

8일(한국	8/SN+일/NNB+(/SS+한국/NNP
시각)	시각/NNG+)/SS
영국	영국/NNP
윔블던	윔블던/NNP
올잉글랜드클럽에서	올잉글랜드클럽/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
테니스	테니스/NNG
남자	남자/NNG
단식	단식/NNG
결승이	결승/NNG+이/JKS
앤디	앤디/NNP
머레이(26·영국)의	머레이/NNP+(/SS+26/SN+·/SP+영국/NNP+)/SS+의/JKG
승리로	승리/NNG+로/JKB
끝나자	끝나/VV+자/EC
센터	센터/NNG
코트에	코트/NNG+에/JKB
운집한	운집/NNG+하/XSV+ㄴ/ETM
팬	팬/NNG
1만5000여명은	1/SN+만/NR+5000/SN+여/XSN+명/NNB+은/JX
긴	길/VA+ㄴ/ETM
'악몽'에서	'/SS+악몽/NNG+'/SS+에서/JKB
깨어난	깨어나/VV+ㄴ/ETM
듯	듯/NNB
함성을	함성/NNG+을/JKO
지르며	지르/VV+며/EC
기뻐했다.	기뻐하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.247.4.1
이날 경기장에는 데이비드 캐머런 영국 총리 등 유명 인사들이 찾아 머레이를 응원했다.

이날	이날/NNG
경기장에는	경기장/NNG+에/JKB+는/JX
데이비드	데이비드/NNP
캐머런	캐머런/NNP
영국	영국/NNP
총리	총리/NNG
등	등/NNB
유명	유명/NNG
인사들이	인사/NNG+들/XSN+이/JKS
찾아	찾/VV+아/EC
머레이를	머레이/NNP+를/JKO
응원했다.	응원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.247.4.2
영국은 1936년 프레드 페리의 윔블던 남자 단식 우승 이후 70년 넘게 자국 우승자를 배출하지 못했다.

영국은	영국/NNP+은/JX
1936년	1936/SN+년/NNB
프레드	프레드/NNP
페리의	페리/NNP+의/JKG
윔블던	윔블던/NNP
남자	남자/NNG
단식	단식/NNG
우승	우승/NNG
이후	이후/NNG
70년	70/SN+년/NNB
넘게	넘/VV+게/EC
자국	자국/NNG
우승자를	우승자/NNG+를/JKO
배출하지	배출/NNG+하/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.247.4.3
이 때문에 관전 매너를 중시하는 영국인들도 결승 막판 머레이의 상대인 노박 조코비치(세르비아)에게 야유를 보내거나 고함을 지르는 등 흥분을 감추지 못하는 모습이었다.

이	이/MMD
때문에	때문/NNB+에/JKB
관전	관전/NNG
매너를	매너/NNG+를/JKO
중시하는	중시/NNG+하/XSV+는/ETM
영국인들도	영국인/NNG+들/XSN+도/JX
결승	결승/NNG
막판	막판/NNG
머레이의	머레이/NNP+의/JKG
상대인	상대/NNG+이/VCP+ㄴ/ETM
노박	노박/NNP
조코비치(세르비아)에게	조코비치/NNP+(/SS+세르비아/NNP+)/SS+에게/JKB
야유를	야유/NNG+를/JKO
보내거나	보내/VV+거나/EC
고함을	고함/NNG+을/JKO
지르는	지르/VV+는/ETM
등	등/NNB
흥분을	흥분/NNG+을/JKO
감추지	감추/VV+지/EC
못하는	못하/VX+는/ETM
모습이었다.	모습/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.247.4.4
홈 팬의 열렬한 지지 속에 세계 랭킹 2위 머레이는 이날 세계 1위 조코비치에게 3대0(6-4 7-5 6-4) 완승을 거두며 77년 만에 숙원을 풀었다.

홈	홈/NNG
팬의	팬/NNG+의/JKG
열렬한	열렬하/VA+ㄴ/ETM
지지	지지/NNG
속에	속/NNG+에/JKB
세계	세계/NNG
랭킹	랭킹/NNG
2위	2/SN+위/NNB
머레이는	머레이/NNP+는/JX
이날	이날/NNG
1위	1/SN+위/NNB
조코비치에게	조코비치/NNP+에게/JKB
3대0(6-4	3/SN+대/NNB+0/SN+(/SS+6/SN+-/SO+4/SN
7-5	7/SN+-/SO+5/SN
6-4)	6/SN+-/SO+4/SN+)/SS
완승을	완승/NNG+을/JKO
거두며	거두/VV+며/EC
77년	77/SN+년/NNB
만에	만/NNB+에/JKB
숙원을	숙원/NNG+을/JKO
풀었다.	풀/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.247.4.5
지난해 윔블던 결승에서 로저 페더러(스위스)에게 패한 뒤 분루를 삼켰던 그는 "지난해 윔블던 결승 패배는 선수 인생에서 가장 힘든 순간이었다"고 했다.

지난해	지난해/NNG
윔블던	윔블던/NNP
결승에서	결승/NNG+에서/JKB
로저	로저/NNP
페더러(스위스)에게	페더러/NNP+(/SS+스위스/NNP+)/SS+에게/JKB
패한	패/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
분루를	분루/NNG+를/JKO
삼켰던	삼키/VV+었/EP+던/ETM
그는	그/NP+는/JX
"지난해	"/SS+지난해/NNG
결승	결승/NNG
패배는	패배/NNG+는/JX
선수	선수/NNG
인생에서	인생/NNG+에서/JKB
가장	가장/MAG
힘든	힘들/VA+ㄴ/ETM
순간이었다"고	순간/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.247.5.1
머레이는 준비된 스타였지만 오랫동안 국제무대에서 두각을 나타내지 못했다.

머레이는	머레이/NNP+는/JX
준비된	준비/NNG+되/XSV+ㄴ/ETM
스타였지만	스타/NNG+이/VCP+었/EP+지만/EC
오랫동안	오랫동안/NNG
국제무대에서	국제/NNG+무대/NNG+에서/JKB
두각을	두각/NNG+을/JKO
나타내지	나타내/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.247.5.2
윔블던을 포함해 메이저 무대에서 약한 모습을 보이며 영국 언론으로부터 '새가슴'이라는 비아냥을 들어야 했다.

윔블던을	윔블던/NNP+을/JKO
포함해	포함/NNG+하/XSV+아/EC
메이저	메이저/NNG
무대에서	무대/NNG+에서/JKB
약한	약하/VA+ㄴ/ETM
모습을	모습/NNG+을/JKO
보이며	보이/VV+며/EC
영국	영국/NNP
언론으로부터	언론/NNG+으로부터/JKB
'새가슴'이라는	'/SS+새가슴/NNG+'/SS+이/VCP+라는/ETM
비아냥을	비아냥/XR+을/JKO
들어야	듣/VV+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.247.5.3
머레이는 지난해 초 이반 랜들(53·체코)을 새 코치로 영입하며 달라지기 시작했다.

머레이는	머레이/NNP+는/JX
지난해	지난해/NNG
초	초/NNB
이반	이반/NNP
랜들(53·체코)을	랜들/NNP+(/SS+53/SN+·/SP+체코/NNP+)/SS+을/JKO
새	새/MMA
코치로	코치/NNG+로/JKB
영입하며	영입/NNG+하/XSV+며/EC
달라지기	달라지/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.247.5.4
랜들의 혹독한 지도를 받은 머레이는 스트로크의 정확성이 높아졌고, 수 싸움에서도 상대를 압도했다.

랜들의	랜들/NNP+의/JKG
혹독한	혹독하/VA+ㄴ/ETM
지도를	지도/NNG+를/JKO
받은	받/VV+은/ETM
머레이는	머레이/NNP+는/JX
스트로크의	스트로크/NNG+의/JKG
정확성이	정확/NNG+성/XSN+이/JKS
높아졌고,	높아지/VV+었/EP+고/EC+,/SP
수	수/NNG
싸움에서도	싸움/NNG+에서/JKB+도/JX
상대를	상대/NNG+를/JKO
압도했다.	압도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.247.6.1
머레이의 어머니 주디 머레이(54)도 헌신적인 뒷바라지로 지금의 머레이를 키워냈다.

머레이의	머레이/NNP+의/JKG
어머니	어머니/NNG
주디	주디/NNP
머레이(54)도	머레이/NNP+(/SS+54/SN+)/SS+도/JX
헌신적인	헌신/NNG+적/XSN+이/VCP+ㄴ/ETM
뒷바라지로	뒷바라지/NNG+로/JKB
지금의	지금/NNG+의/JKG
머레이를	머레이/NNP+를/JKO
키워냈다.	키우/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.247.6.2
영국 여자 테니스 대표팀 감독 출신인 주디는 머레이가 열 살이던 1997년 남편과 이혼한 뒤 열두 살까지 혼자 머레이에게 테니스를 가르쳤다.

영국	영국/NNP
여자	여자/NNG
테니스	테니스/NNG
대표팀	대표/NNG+팀/NNG
감독	감독/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
주디는	주디/NNP+는/JX
머레이가	머레이/NNP+가/JKS
열	열/NR
살이던	살/NNB+이/VCP+던/ETM
1997년	1997/SN+년/NNB
남편과	남편/NNG+과/JKB
이혼한	이혼/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
열두	열두/NR
살까지	살/NNB+까지/JX
혼자	혼자/MAG
머레이에게	머레이/NNP+에게/JKB
테니스를	테니스/NNG+를/JKO
가르쳤다.	가르치/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.247.6.3
주디는 머레이를 1년에 3만파운드(약 5100만원)가 넘게 드는 스페인의 유명 테니스 아카데미에 유학시키기 위해 귀금속뿐 아니라 고가의 속옷까지 내다 팔기도 했다.

주디는	주디/NNP+는/JX
머레이를	머레이/NNP+를/JKO
1년에	1/SN+년/NNB+에/JKB
3만파운드(약	3/SN+만/NR+파운드/NNB+(/SS+약/MMA
5100만원)가	5100/SN+만/NR+원/NNB+)/SS+가/JKS
넘게	넘/VV+게/EC
드는	들/VV+는/ETM
스페인의	스페인/NNP+의/JKG
유명	유명/NNG
테니스	테니스/NNG
아카데미에	아카데미/NNG+에/JKB
유학시키기	유학/NNG+시키/XSV+기/ETN
위해	위하/VV+아/EC
귀금속뿐	귀금속/NNG+뿐/JX
아니라	아니/VCN+라/EC
고가의	고가/NNG+의/JKG
속옷까지	속옷/NNG+까지/JX
내다	내/VV+어다/EC
팔기도	팔/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


