# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.288
metadata : {}


# id : NWRW1800000053.288.1.1
[횡설수설/정성희]美 언론계 강타한 ‘미투’

[횡설수설/정성희]美	[/SS+횡설수설/NNG+//SP+정성희/NNP+]/SS+美/SH
언론계	언론/NNG+계/XSN
강타한	강타/NNG+하/XSV+ㄴ/ETM
‘미투’	‘/SS+미투/NNG+’/SS


# id : NWRW1800000053.288.2.1
‘뉴스룸’은 필자가 가장 좋아하는 미드다.

‘뉴스룸’은	‘/SS+뉴스룸/NNP+’/SS+은/JX
필자가	필자/NNG+가/JKS
가장	가장/MAG
좋아하는	좋아하/VV+는/ETM
미드다.	미드/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.288.2.2
숨 가쁘게 돌아가는 뉴스의 세계, 위트 있는 대사, 예측 불허의 결말.

숨	숨/NNG
가쁘게	가쁘/VA+게/EC
돌아가는	돌아가/VV+는/ETM
뉴스의	뉴스/NNG+의/JKG
세계,	세계/NNG+,/SP
위트	위트/NNG
있는	있/VA+는/ETM
대사,	대사/NNG+,/SP
예측	예측/NNG
불허의	불허/NNG+의/JKG
결말.	결말/NNG+./SF


# id : NWRW1800000053.288.2.3
1편에서 ACN방송국 간판앵커 윌 매커보이가 대학생 청중 앞에서 “미국은 더 이상 위대한 나라가 아니다”라고 말하는 대목은 미드를 통틀어 최고 명장면이라고 생각한다.

1편에서	1/SN+편/NNB+에서/JKB
ACN방송국	ACN방송국/NNP
간판앵커	간판/NNG+앵커/NNG
윌	윌/NNP
매커보이가	매커보이/NNP+가/JKS
대학생	대학/NNG+생/XSN
청중	청중/NNG
앞에서	앞/NNG+에서/JKB
“미국은	“/SS+미국/NNP+은/JX
더	더/MAG
이상	이상/NNG
위대한	위대하/VA+ㄴ/ETM
나라가	나라/NNG+가/JKC
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
말하는	말/NNG+하/XSV+는/ETM
대목은	대목/NNG+은/JX
미드를	미드/NNG+를/JKO
통틀어	통틀어/MAG
최고	최고/NNG
명장면이라고	명장면/NNG+이/VCP+라고/EC
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.288.2.4
드라마가 보여주듯 미디어 시대에 뉴스 앵커가 갖는 사회적 위상은 상상하지 못할 정도로 크다.

드라마가	드라마/NNG+가/JKS
보여주듯	보이/VV+어/EC+주/VX+듯/EC
미디어	미디어/NNG
시대에	시대/NNG+에/JKB
뉴스	뉴스/NNG
앵커가	앵커/NNG+가/JKS
갖는	갖/VV+는/ETM
사회적	사회/NNG+적/XSN
위상은	위상/NNG+은/JX
상상하지	상상/NNG+하/XSV+지/EC
못할	못하/VX+ㄹ/ETM
정도로	정도/NNG+로/JKB
크다.	크/VA+다/EF+./SF


# id : NWRW1800000053.288.3.1
▷여배우들에 대한 영화제작자 하비 와인스틴의 상습적 성폭력이 폭로된 것을 계기로 시작된 ‘나도 당했다(#MeToo)’ 캠페인 여파가 언론계를 강타하고 있다.

▷여배우들에	▷/SW+여배우/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
영화제작자	영화/NNG+제작자/NNG
하비	하비/NNP
와인스틴의	와인스틴/NNP+의/JKG
상습적	상습/NNG+적/XSN
성폭력이	성폭력/NNG+이/JKS
폭로된	폭로/NNG+되/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
계기로	계기/NNG+로/JKB
시작된	시작/NNG+되/XSV+ㄴ/ETM
‘나도	‘/SS+나/NP+도/JX
당했다(#MeToo)’	당하/VV+았/EP+다/EF+(/SS+#/SW+MeToo/SL+)/SS+’/SS
캠페인	캠페인/NNG
여파가	여파/NNG+가/JKS
언론계를	언론/NNG+계/XSN+를/JKO
강타하고	강타/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.288.3.2
시작은 스웨덴.

시작은	시작/NNG+은/JX
스웨덴.	스웨덴/NNP+./SF


# id : NWRW1800000053.288.3.3
인기 방송진행자인 마르틴 티멜이 여성 진행자의 몸을 만지고 성희롱 발언을 일삼았다는 이유로 최근 해고됐다.

인기	인기/NNG
방송진행자인	방송/NNG+진행자/NNG+이/VCP+ㄴ/ETM
마르틴	마르틴/NNP
티멜이	티멜/NNP+이/JKS
여성	여성/NNG
진행자의	진행자/NNG+의/JKG
몸을	몸/NNG+을/JKO
만지고	만지/VV+고/EC
성희롱	성희롱/NNG
발언을	발언/NNG+을/JKO
일삼았다는	일삼/VV+았/EP+다는/ETM
이유로	이유/NNG+로/JKB
최근	최근/MAG
해고됐다.	해고/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.288.3.4
양성평등 모범국가인 스웨덴에서 일어난 스캔들이어서 세계가 놀랐다.

양성평등	양성평등/NNG
모범국가인	모범/NNG+국가/NNG+이/VCP+ㄴ/ETM
스웨덴에서	스웨덴/NNP+에서/JKB
일어난	일어나/VV+ㄴ/ETM
스캔들이어서	스캔들/NNG+이/VCP+어서/EC
세계가	세계/NNG+가/JKS
놀랐다.	놀라/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.288.3.5
이어 미국에서 NBC 아침 뉴스쇼 ‘투데이’를 20년 넘게 진행해 온 간판 앵커 맷 라워가 여성 직원들에게 성관계를 요구한 전력으로 지난달 29일 쫓겨났다.

이어	이어/MAG
미국에서	미국/NNP+에서/JKB
NBC	NBC/SL
아침	아침/NNG
뉴스쇼	뉴스쇼/NNG
‘투데이’를	‘/SS+투데이/NNG+’/SS+를/JKO
20년	20/SN+년/NNB
넘게	넘/VV+게/EC
진행해	진행/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
간판	간판/NNG
앵커	앵커/NNG
맷	맷/NNP
라워가	라워/NNP+가/JKS
여성	여성/NNG
직원들에게	직원/NNG+들/XSN+에게/JKB
성관계를	성관계/NNG+를/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
전력으로	전력/NNG+으로/JKB
지난달	지난달/NNG
29일	29/SN+일/NNB
쫓겨났다.	쫓겨나/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.288.3.6
같은 날 미국 공영라디오 NPR의 데이비드 스위니 보도국장과 지역방송인 미네소타공영라디오(MPR)의 유명 진행자 개리슨 킬러도 성추행 혐의로 해고됐다.

같은	같/VA+은/ETM
날	날/NNG
미국	미국/NNP
공영라디오	공영/NNG+라디오/NNG
NPR의	NPR/SL+의/JKG
데이비드	데이비드/NNP
스위니	스위니/NNP
보도국장과	보도국장/NNG+과/JC
지역방송인	지역/NNG+방송/NNG+이/VCP+ㄴ/ETM
미네소타공영라디오(MPR)의	미네소타공영라디오/NNP+(/SS+MPR/SL+)/SS+의/JKG
유명	유명/NNG
진행자	진행자/NNG
개리슨	개리슨/NNP
킬러도	킬러/NNP+도/JX
성추행	성추행/NNG
혐의로	혐의/NNG+로/JKB
해고됐다.	해고/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.288.4.1
▷많은 이들이 스타 저널리스트의 겉 다르고 속 다른 행동이 실망스럽다고 말하고 있지만 ‘미투’ 캠페인이 마녀사냥을 연상케 한다고 비판하는 이들도 적지 않다.

▷많은	▷/SW+많/VA+은/ETM
이들이	이/NNB+들/XSN+이/JKS
스타	스타/NNG
저널리스트의	저널리스트/NNG+의/JKG
겉	겉/NNG
다르고	다르/VA+고/EC
속	속/NNG
다른	다르/VA+ㄴ/ETM
행동이	행동/NNG+이/JKS
실망스럽다고	실망/NNG+스럽/XSA+다고/EC
말하고	말/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
‘미투’	‘/SS+미투/NNG+’/SS
캠페인이	캠페인/NNG+이/JKS
마녀사냥을	마녀사냥/NNG+을/JKO
연상케	연상/NNG+하/XSV+게/EC
한다고	하/VX+ㄴ다고/EC
비판하는	비판/NNG+하/XSV+는/ETM
