# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.389
metadata : {}


# id : NWRW1800000056.389.1.1
[단독] ‘비선보고’ 추명호 공소장에 우병우·최윤수 ‘공범’ 적시

[단독]	[/SS+단독/NNG+]/SS
‘비선보고’	‘/SS+비선/NNG+보고/NNG+’/SS
추명호	추명호/NNP
공소장에	공소장/NNG+에/JKB
우병우·최윤수	우병우/NNP+·/SP+최윤수/NNP
‘공범’	‘/SS+공범/NNG+’/SS
적시	적시/NNG


# id : NWRW1800000056.389.2.1
이석수 사찰 등에 우 전 수석·최윤수 전 국정원 차장 개입 판단

이석수	이석수/NNP
사찰	사찰/NNG
등에	등/NNB+에/JKB
우	우/NNP
전	전/MMD
수석·최윤수	수석/NNG+·/SP+최윤수/NNP
국정원	국정원/NNG
차장	차장/NNG
개입	개입/NNG
판단	판단/NNG


# id : NWRW1800000056.389.3.1
추 전 국장, 청와대 파견 국정원 직원 통해 사찰문건 전달

추	추/NNP
전	전/MMD
국장,	국장/NNG+,/SP
청와대	청와대/NNP
파견	파견/NNG
국정원	국정원/NNG
직원	직원/NNG
통해	통하/VV+아/EC
사찰문건	사찰/NNG+문건/NNG
전달	전달/NNG


# id : NWRW1800000056.389.4.1
검찰, 늦어도 다음주 초에는 우·최 소환…동시조사 검토

검찰,	검찰/NNG+,/SP
늦어도	늦/VA+어도/EC
다음주	다음/NNG+주/NNG
초에는	초/NNB+에/JKB+는/JX
우·최	우/NNP+·/SP+최/NNP
소환…동시조사	소환/NNG+…/SE+동시/NNG+조사/NNG
검토	검토/NNG


# id : NWRW1800000056.389.5.1
검찰이 추명호 전 국가정보원 국익정보국장의 공소장에 우병우 전 청와대 민정수석과 최윤수 전 국정원 2차장을 ‘공범’으로 적시한 것으로 22일 확인됐다.

검찰이	검찰/NNG+이/JKS
추명호	추명호/NNP
전	전/MMD
국가정보원	국가/NNG+정보원/NNG
국익정보국장의	국익/NNG+정보국장/NNG+의/JKG
공소장에	공소장/NNG+에/JKB
우병우	우병우/NNP
청와대	청와대/NNP
민정수석과	민정/NNG+수석/NNG+과/JC
최윤수	최윤수/NNP
국정원	국정원/NNG
2차장을	2/SN+차장/NNG+을/JKO
‘공범’으로	‘/SS+공범/NNG+’/SS+으로/JKB
적시한	적시/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
22일	22/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.389.5.2
검찰은 늦어도 다음주 초에는 우 전 수석과 최 전 차장을 소환해 조사할 방침이다.

검찰은	검찰/NNG+은/JX
늦어도	늦/VA+어도/EC
다음주	다음/NNG+주/NNG
초에는	초/NNB+에/JKB+는/JX
우	우/NNP
전	전/MMD
수석과	수석/NNG+과/JC
최	최/NNP
차장을	차장/NNG+을/JKO
소환해	소환/NNG+하/XSV+아/EC
조사할	조사/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.389.6.1
서울중앙지검 국정원 수사팀(팀장 박찬호 2차장)은 이날 추 전 국장을 국정원법상 정치관여와 직권남용 혐의 등으로 구속기소했다고 밝혔다.

서울중앙지검	서울중앙지검/NNP
국정원	국정원/NNG
수사팀(팀장	수사/NNG+팀/NNG+(/SS+팀장/NNG
박찬호	박찬호/NNP
2차장)은	2/SN+차장/NNG+)/SS+은/JX
이날	이날/NNG
추	추/NNP
전	전/MMD
국장을	국장/NNG+을/JKO
국정원법상	국정원법/NNG+상/XSN
정치관여와	정치/NNG+관여/NNG+와/JC
직권남용	직권/NNG+남용/NNG
혐의	혐의/NNG
등으로	등/NNB+으로/JKB
구속기소했다고	구속/NNG+기소/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.389.6.2
추 전 국장은 지난해 우 전 수석 가족의 ‘넥슨 부동산 특혜매매’ 의혹을 감찰 중인 이석수 특별감찰관을 사찰한 보고서를 작성하고 이를 우 전 수석에게 비선 보고한 혐의를 받고 있다.

추	추/NNP
전	전/MMD
국장은	국장/NNG+은/JX
지난해	지난해/NNG
우	우/NNP
수석	수석/NNG
가족의	가족/NNG+의/JKG
‘넥슨	‘/SS+넥슨/NNP
부동산	부동산/NNG
특혜매매’	특혜/NNG+매매/NNG+’/SS
의혹을	의혹/NNG+을/JKO
감찰	감찰/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
이석수	이석수/NNP
특별감찰관을	특별/NNG+감찰관/NNG+을/JKO
사찰한	사찰/NNG+하/XSV+ㄴ/ETM
보고서를	보고서/NNG+를/JKO
작성하고	작성/NNG+하/XSV+고/EC
이를	이/NP+를/JKO
수석에게	수석/NNG+에게/JKB
비선	비선/NNG
보고한	보고/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.389.6.3
또 부하 직원에게 지시해 문화체육관광부 간부 8명을 사찰하고 부정적 세평을 정리한 보고서를 쓰도록 한 혐의도 적용됐다.

또	또/MAG
부하	부하/NNG
직원에게	직원/NNG+에게/JKB
지시해	지시/NNG+하/XSV+아/EC
문화체육관광부	문화/NNG+체육/NNG+관광부/NNG
간부	간부/NNG
8명을	8/SN+명/NNB+을/JKO
사찰하고	사찰/NNG+하/XSV+고/EC
부정적	부정/NNG+적/XSN
세평을	세평/NNG+을/JKO
정리한	정리/NNG+하/XSV+ㄴ/ETM
보고서를	보고서/NNG+를/JKO
쓰도록	쓰/VV+도록/EC
한	하/VV+ㄴ/ETM
혐의도	혐의/NNG+도/JX
적용됐다.	적용/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.389.6.4
우 전 수석은 이들 문체부 간부 중 6명의 인사 조처를 김종덕 전 문체부 장관에게 요구한 혐의(직권남용) 등으로 현재 재판을 받고 있다.

우	우/NNP
전	전/MMD
수석은	수석/NNG+은/JX
이들	이/NP+들/XSN
문체부	문체부/NNG
간부	간부/NNG
중	중/NNB
6명의	6/SN+명/NNB+의/JKG
인사	인사/NNG
조처를	조처/NNG+를/JKO
김종덕	김종덕/NNP
장관에게	장관/NNG+에게/JKB
요구한	요구/NNG+하/XSV+ㄴ/ETM
혐의(직권남용)	혐의/NNG+(/SS+직권/NNG+남용/NNG+)/SS
등으로	등/NNB+으로/JKB
현재	현재/MAG
재판을	재판/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.389.7.1
검찰이 추 전 국장의 공소장에 우 전 수석과 최 전 차장을 공범으로 적시한 것은 조사 과정에서 불법적인 사찰 결과가 ‘비선 보고’되는 구체적인 과정이 확인됐기 때문이다.

검찰이	검찰/NNG+이/JKS
추	추/NNP
전	전/MMD
국장의	국장/NNG+의/JKG
공소장에	공소장/NNG+에/JKB
우	우/NNP
수석과	수석/NNG+과/JC
최	최/NNP
차장을	차장/NNG+을/JKO
공범으로	공범/NNG+으로/JKB
적시한	적시/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
조사	조사/NNG
과정에서	과정/NNG+에서/JKB
불법적인	불법/NNG+적/XSN+이/VCP+ㄴ/ETM
사찰	사찰/NNG
결과가	결과/NNG+가/JKS
‘비선	‘/SS+비선/NNG
보고’되는	보고/NNG+’/SS+되/VV+는/ETM
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
과정이	과정/NNG+이/JKS
확인됐기	확인/NNG+되/XSV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.389.7.2
추 전 국장은 불법사찰 내용을 최윤수 전 차장에게 보고한 뒤 자신의 보좌관을 통해 해당 문건을 청와대에 파견된 국정원 직원에게 직접 전달하도록 했다고 한다.

추	추/NNP
전	전/MMD
국장은	국장/NNG+은/JX
불법사찰	불법/NNG+사찰/NNG
내용을	내용/NNG+을/JKO
최윤수	최윤수/NNP
차장에게	차장/NNG+에게/JKB
보고한	보고/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
자신의	자신/NNG+의/JKG
보좌관을	보좌관/NNG+을/JKO
통해	통하/VV+아/EC
해당	해당/NNG
문건을	문건/NNG+을/JKO
청와대에	청와대/NNP+에/JKB
파견된	파견/NNG+되/XSV+ㄴ/ETM
국정원	국정원/NNG
직원에게	직원/NNG+에게/JKB
직접	직접/MAG
전달하도록	전달/NNG+하/XSV+도록/EC
했다고	하/VX+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.389.7.3
검찰은 당시 파견 직원의 진술 등을 통해 이 문건이 우 전 수석에게 전달된 사실을 파악했다.

검찰은	검찰/NNG+은/JX
당시	당시/NNG
파견	파견/NNG
직원의	직원/NNG+의/JKG
진술	진술/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
이	이/MMD
문건이	문건/NNG+이/JKS
우	우/NNP
전	전/MMD
수석에게	수석/NNG+에게/JKB
전달된	전달/NNG+되/XSV+ㄴ/ETM
사실을	사실/NNG+을/JKO
파악했다.	파악/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.389.7.4
검찰은 또 우 전 수석이 2014년 청와대 민정비서관 시절 ‘국정원 국익전략실(7국)의 정책정보는 감찰 정보로 활용하기 힘들다’는 취지로 국익정보국(8국)에 직접 첩보 보고를 요청했다는 진술도 확보했다.

검찰은	검찰/NNG+은/JX
또	또/MAG
우	우/NNP
전	전/MMD
수석이	수석/NNG+이/JKS
2014년	2014/SN+년/NNB
청와대	청와대/NNP
민정비서관	민정/NNG+비서관/NNG
시절	시절/NNG
‘국정원	‘/SS+국정원/NNG
국익전략실(7국)의	국익/NNG+전략실/NNG+(/SS+7/SN+국/NNG+)/SS+의/JKG
정책정보는	정책/NNG+정보/NNG+는/JX
감찰	감찰/NNG
정보로	정보/NNG+로/JKB
활용하기	활용/NNG+하/XSV+기/ETN
힘들다’는	힘들/VA+다/EF+’/SS+는/ETM
취지로	취지/NNG+로/JKB
국익정보국(8국)에	국익/NNG+정보국/NNG+(/SS+8/SN+국/NNG+)/SS+에/JKB
직접	직접/MAG
첩보	첩보/NNG
보고를	보고/NNG+를/JKO
요청했다는	요청/NNG+하/XSV+았/EP+다는/ETM
진술도	진술/NNG+도/JX
확보했다.	확보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.389.8.1
검찰은 최 전 차장과 우 전 수석을 늦어도 다음주 초에는 소환해 관련 혐의를 조사할 방침이다.

검찰은	검찰/NNG+은/JX
최	최/NNP
전	전/MMD
차장과	차장/NNG+과/JC
우	우/NNP
수석을	수석/NNG+을/JKO
늦어도	늦/VA+어도/EC
다음주	다음/NNG+주/NNG
초에는	초/NNB+에/JKB+는/JX
소환해	소환/NNG+하/XSV+아/EC
관련	관련/NNG
혐의를	혐의/NNG+를/JKO
조사할	조사/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.389.8.2
검찰은 서울대 법대 동기이자 친분이 두터운 두 사람이 말맞추기를 할 수 있다고 보고, 같은 날 소환하는 방안 등을 검토 중이다.

검찰은	검찰/NNG+은/JX
서울대	서울대/NNP
법대	법대/NNG
동기이자	동기/NNG+이/VCP+자/EC
친분이	친분/NNG+이/JKS
두터운	두텁/VA+ㄴ/ETM
두	두/MMN
사람이	사람/NNG+이/JKS
