# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.92
metadata : {}


# id : NWRW1800000041.92.1.1
亞 남성중 ‘세계 4대 컬렉션’ 최다 진출… 광고 속 유일한 ‘직업모델’ 박성진씨

亞	亞/SH
남성중	남성/NNG+중/NNB
‘세계	‘/SS+세계/NNG
4대	4/SN+대/NNG
컬렉션’	컬렉션/NNG+’/SS
최다	최다/NNG
진출…	진출/NNG+…/SE
광고	광고/NNG
속	속/NNG
유일한	유일/NNG+하/XSA+ㄴ/ETM
‘직업모델’	‘/SS+직업/NNG+모델/NNG+’/SS
박성진씨	박성진/NNP+씨/NNB


# id : NWRW1800000041.92.2.1
“자연스러운 모습 담아내려… 광고의상도 평소 입던 옷으로”

“자연스러운	“/SS+자연/NNG+스럽/XSA+ㄴ/ETM
모습	모습/NNG
담아내려…	담아내/VV+려/EC+…/SE
광고의상도	광고/NNG+의상/NNG+도/JX
평소	평소/NNG
입던	입/VV+던/ETM
옷으로”	옷/NNG+으로/JKB+”/SS


# id : NWRW1800000041.92.3.1
삼성전자 ‘갤럭시 알파’의 TV 광고에 등장하는 유일한 ‘직업 모델’인 박성진 씨(25)는 아시아인 남성 모델로는 드물게 세계 패션 무대에서 인정받고 있다.

삼성전자	삼성전자/NNP
‘갤럭시	‘/SS+갤럭시/NNP
알파’의	알파/NNP+’/SS+의/JKG
TV	TV/SL
광고에	광고/NNG+에/JKB
등장하는	등장/NNG+하/XSV+는/ETM
유일한	유일/NNG+하/XSA+ㄴ/ETM
‘직업	‘/SS+직업/NNG
모델’인	모델/NNG+’/SS+이/VCP+ㄴ/ETM
박성진	박성진/NNP
씨(25)는	씨/NNB+(/SS+25/SN+)/SS+는/JX
아시아인	아시아인/NNG
남성	남성/NNG
모델로는	모델/NNG+로/JKB+는/JX
드물게	드물/VA+게/EC
세계	세계/NNG
패션	패션/NNG
무대에서	무대/NNG+에서/JKB
인정받고	인정/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.92.4.1
그는 아시아인 남성 모델 중 지난해 가을과 겨울, 올해 봄과 여름 시즌에 연속으로 세계 4대 컬렉션 최다 진출자로 이름을 올렸다.

그는	그/NP+는/JX
아시아인	아시아인/NNG
남성	남성/NNG
모델	모델/NNG
중	중/NNB
지난해	지난해/NNG
가을과	가을/NNG+과/JC
겨울,	겨울/NNG+,/SP
올해	올해/NNG
봄과	봄/NNG+과/JC
여름	여름/NNG
시즌에	시즌/NNG+에/JKB
연속으로	연속/NNG+으로/JKB
세계	세계/NNG
4대	4/SN+대/NNG
컬렉션	컬렉션/NNG
최다	최다/NNG
진출자로	진출자/NNG+로/JKB
이름을	이름/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.92.4.2
또 세계적인 모델 랭킹 사이트인 ‘모델스닷컴’에서 한국인 최초로 50위권에 들었다.

또	또/MAG
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
모델	모델/NNG
랭킹	랭킹/NNG
사이트인	사이트/NNG+이/VCP+ㄴ/ETM
‘모델스닷컴’에서	‘/SS+모델스닷컴/NNP+’/SS+에서/JKB
한국인	한국인/NNG
최초로	최초/NNG+로/JKB
50위권에	50/SN+위/NNB+권/XSN+에/JKB
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.92.5.1
지난달 29일 서울 용산구 한남동에 있는 한 카페에서 박 씨를 만났다.

지난달	지난달/NNG
29일	29/SN+일/NNB
서울	서울/NNP
용산구	용산구/NNP
한남동에	한남동/NNP+에/JKB
있는	있/VA+는/ETM
한	한/MMN
카페에서	카페/NNG+에서/JKB
박	박/NNP
씨를	씨/NNB+를/JKO
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.92.6.1
그는 “평상시에 즐겨 입던 옷을 그대로 광고에 입고 나왔다”며 “평소 모습 그대로 광고에 출연하면 됐기 때문에 의상을 준비하는 과정에서 정말 자연스러웠다”고 밝혔다.

그는	그/NP+는/JX
“평상시에	“/SS+평상시/NNG+에/JKB
즐겨	즐기/VV+어/EC
입던	입/VV+던/ETM
옷을	옷/NNG+을/JKO
그대로	그대로/MAG
광고에	광고/NNG+에/JKB
입고	입/VV+고/EC
나왔다”며	나오/VV+았/EP+다/EF+”/SS+며/EC
“평소	“/SS+평소/NNG
모습	모습/NNG
출연하면	출연/NNG+하/XSV+면/EC
됐기	되/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
의상을	의상/NNG+을/JKO
준비하는	준비/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
정말	정말/MAG
자연스러웠다”고	자연/NNG+스럽/XSA+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.92.7.1
박 씨는 “디자인과 패션으로 유명한 도시답게 거리에서 만난 런던 사람들은 대부분 스타일리시한 모습이었다”며 “이런 특성 덕분에 처음 의도했던 것처럼 자연스럽게 젊음과 감성을 광고에 담아낼 수 있었던 것 같다”고 덧붙였다.

박	박/NNP
씨는	씨/NNB+는/JX
“디자인과	“/SS+디자인/NNG+과/JC
패션으로	패션/NNG+으로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
도시답게	도시/NNG+답/XSA+게/EC
거리에서	거리/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
런던	런던/NNP
사람들은	사람/NNG+들/XSN+은/JX
대부분	대/XPN+부분/NNG
스타일리시한	스타일리시/NNG+하/XSA+ㄴ/ETM
모습이었다”며	모습/NNG+이/VCP+었/EP+다/EF+”/SS+며/EC
“이런	“/SS+이런/MMD
특성	특성/NNG
덕분에	덕분/NNG+에/JKB
처음	처음/NNG
의도했던	의도/NNG+하/XSV+았/EP+던/ETM
것처럼	것/NNB+처럼/JKB
자연스럽게	자연/NNG+스럽/XSA+게/EC
젊음과	젊음/NNG+과/JC
감성을	감성/NNG+을/JKO
광고에	광고/NNG+에/JKB
담아낼	담아내/VV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.92.8.1
하지만 콘티 없이 진행되는 TV 광고였던 만큼 적지 않은 어려움이 따랐다.

하지만	하지만/MAJ
콘티	콘티/NNG
없이	없이/MAG
진행되는	진행/NNG+되/XSV+는/ETM
TV	TV/SL
광고였던	광고/NNG+이/VCP+었/EP+던/ETM
만큼	만큼/NNB
적지	적/VA+지/EC
않은	않/VX+은/ETM
어려움이	어려움/NNG+이/JKS
따랐다.	따르/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.92.9.1
무엇보다 시간과 장소의 제약 속에서 지나가는 사람을 붙잡고 원하는 반응이나 모습을 이끌어내는 게 쉽지 않았다.

무엇보다	무엇/NP+보다/JKB
시간과	시간/NNG+과/JC
장소의	장소/NNG+의/JKG
제약	제약/NNG
속에서	속/NNG+에서/JKB
지나가는	지나가/VV+는/ETM
사람을	사람/NNG+을/JKO
붙잡고	붙잡/VV+고/EC
원하는	원/NNG+하/XSV+는/ETM
반응이나	반응/NNG+이나/JC
모습을	모습/NNG+을/JKO
이끌어내는	이끌/VV+어/EC+내/VX+는/ETM
게	거/NNB+이/JKS
쉽지	쉽/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.92.10.1
박 씨는 “낯을 가리는 편이 아닌데도 말을 걸면 바쁘게 지나가버리는 사람들 때문에 촬영 첫날에는 많이 힘들었다”며 “다행히 시간이 지날수록 요령도 생겼고, 관심을 가지며 대답을 해주는 사람들을 만날 수 있었다”고 말했다.

박	박/NNP
씨는	씨/NNB+는/JX
“낯을	“/SS+낯/NNG+을/JKO
가리는	가리/VV+는/ETM
편이	편/NNB+이/JKC
아닌데도	아니/VCN+ㄴ데/EC+도/JX
말을	말/NNG+을/JKO
걸면	걸/VV+면/EC
바쁘게	바쁘/VA+게/EC
지나가버리는	지나가/VV+아/EC+버리/VX+는/ETM
사람들	사람/NNG+들/XSN
때문에	때문/NNB+에/JKB
촬영	촬영/NNG
첫날에는	첫날/NNG+에/JKB+는/JX
많이	많이/MAG
힘들었다”며	힘들/VA+었/EP+다/EF+”/SS+며/EC
“다행히	“/SS+다행히/MAG
시간이	시간/NNG+이/JKS
지날수록	지나/VV+ㄹ수록/EC
요령도	요령/NNG+도/JX
생겼고,	생기/VV+었/EP+고/EC+,/SP
관심을	관심/NNG+을/JKO
가지며	가지/VV+며/EC
대답을	대답/NNG+을/JKO
해주는	하/VV+아/EC+주/VX+는/ETM
사람들을	사람/NNG+들/XSN+을/JKO
만날	만나/VV+ㄹ/ETM
수	수/NNB
있었다”고	있/VA+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.92.11.1
박 씨는 그동안 주로 해외에서 활동해 왔지만 앞으로는 국내 방송에도 적극 출연할 계획이다.

박	박/NNP
씨는	씨/NNB+는/JX
그동안	그동안/NNG
주로	주로/MAG
해외에서	해외/NNG+에서/JKB
활동해	활동/NNG+하/XSV+아/EC
왔지만	오/VX+았/EP+지만/EC
앞으로는	앞/NNG+으로/JKB+는/JX
국내	국내/NNG
방송에도	방송/NNG+에/JKB+도/JX
적극	적극/NNG
출연할	출연/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


