# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.105
metadata : {}


# id : NWRW1800000040.105.1.1
손홍규 경찰소환·공지영 출석요구·백가흠 선관위 조사… 문단 덮친 대선 후폭풍…문인들 “단호히 맞설것”

손홍규	손홍규/NNP
경찰소환·공지영	경찰/NNG+소환/NNG+·/SP+공지영/NNP
출석요구·백가흠	출석/NNG+요구/NNG+·/SP+백가흠/NNP
선관위	선관위/NNG
조사…	조사/NNG+…/SE
문단	문단/NNG
덮친	덮치/VV+ㄴ/ETM
대선	대선/NNG
후폭풍…문인들	후폭풍/NNG+…/SE+문인/NNG+들/XSN
“단호히	“/SS+단호히/MAG
맞설것”	맞서/VV+ㄹ/ETM+것/NNB+”/SS


# id : NWRW1800000040.105.2.1
젊은 문인 137명 ‘정권교체’ 광고

젊은	젊/VA+은/ETM
문인	문인/NNG
137명	137/SN+명/NNB
‘정권교체’	‘/SS+정권/NNG+교체/NNG+’/SS
광고	광고/NNG


# id : NWRW1800000040.105.3.1
국정원 댓글 의혹 리트위트도 수사

국정원	국정원/NNG
댓글	댓글/NNG
의혹	의혹/NNG
리트위트도	리트위트/NNG+도/JX
수사	수사/NNG


# id : NWRW1800000040.105.4.1
“표현의 자유 억누르는 시도 안돼”

“표현의	“/SS+표현/NNG+의/JKG
자유	자유/NNG
억누르는	억누르/VV+는/ETM
시도	시도/NNG
안돼”	안/MAG+되/XSV+어/EF+”/SS


# id : NWRW1800000040.105.5.1
대통령선거의 후폭풍이 문단에 휘몰아치고 있다.

대통령선거의	대통령/NNG+선거/NNG+의/JKG
후폭풍이	후폭풍/NNG+이/JKS
문단에	문단/NNG+에/JKB
휘몰아치고	휘몰아치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.105.6.1
정권교체 바람을 담은 신문광고를 실었다는 이유로 소설가 손홍규씨가 18일 경찰에 소환되어 조사를 받았다.

정권교체	정권/NNG+교체/NNG
바람을	바람/NNG+을/JKO
담은	담/VV+은/ETM
신문광고를	신문/NNG+광고/NNG+를/JKO
실었다는	싣/VV+었/EP+다는/ETM
이유로	이유/NNG+로/JKB
소설가	소설가/NNG
손홍규씨가	손홍규/NNP+씨/NNB+가/JKS
18일	18/SN+일/NNB
경찰에	경찰/NNG+에/JKB
소환되어	소환/NNG+되/XSV+어/EC
조사를	조사/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.105.6.2
손씨와 함께 광고에 참여했던 젊은 시인·소설가 20여명은 이날 경찰서 앞에서 항의성명을 발표하는 등 강하게 반발했다.

손씨와	손/NNP+씨/NNB+와/JKB
함께	함께/MAG
광고에	광고/NNG+에/JKB
참여했던	참여/NNG+하/XSV+았/EP+던/ETM
젊은	젊/VA+은/ETM
시인·소설가	시인/NNG+·/SP+소설가/NNG
20여명은	20/SN+여/XSN+명/NNB+은/JX
이날	이날/NNG
경찰서	경찰서/NNG
앞에서	앞/NNG+에서/JKB
항의성명을	항의/NNG+성명/NNG+을/JKO
발표하는	발표/NNG+하/XSV+는/ETM
등	등/NNB
강하게	강하/VA+게/EC
반발했다.	반발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.105.6.3
인기 작가 공지영씨는 최근 국정원 직원의 명예를 훼손했다는 혐의로 고발돼 경찰에 출두하라는 출석요구서를 받았다.

인기	인기/NNG
작가	작가/NNG
공지영씨는	공지영/NNP+씨/NNB+는/JX
최근	최근/MAG
국정원	국정원/NNG
직원의	직원/NNG+의/JKG
명예를	명예/NNG+를/JKO
훼손했다는	훼손/NNG+하/XSV+았/EP+다는/ETM
혐의로	혐의/NNG+로/JKB
고발돼	고발/NNG+되/XSV+어/EC
경찰에	경찰/NNG+에/JKB
출두하라는	출두/NNG+하/XSV+라는/ETM
출석요구서를	출석/NNG+요구서/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.105.6.4
소설가 백가흠씨도 페이스북을 통해 투표 독려를 한 일과 관련해 선거관리위원회에 신고가 접수돼 조사에 들어간 상태다.

소설가	소설가/NNG
백가흠씨도	백가흠/NNP+씨/NNB+도/JX
페이스북을	페이스북/NNP+을/JKO
통해	통하/VV+아/EC
투표	투표/NNG
독려를	독려/NNG+를/JKO
한	하/VV+ㄴ/ETM
일과	일/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
